course_code,ML,DS,Statistics,Computer_Vision,NLP,Software_Engineering,Algorithms,HCI,Optimization,Econimics,Finance/Quant,Computer_Architecture,Embedded_Systems,Robotics,Computer_Systems,Cognitive_Science,Apllied_Mathematics
COSE421,0.1,0,0,0,0,0.5,0.3,0,0.2,0,0,0.8,1,0.5,0.65,0,0.2
COSE423,0.05,0.1,0.1,0,0,0.6,0.65,0,0.1,0.2,0.5,0.1,0.05,0,0.65,0,0.4
COSE425,0.05,0.1,0.1,0,0,0.65,0.65,0.05,0.1,0.2,0.5,0.1,0.05,0,0.7,0,0.4
COSE432,0.15,0.15,0.1,0.1,0.15,0.4,0.1,1,0.05,0,0,0,0,0.1,0.05,0.7,0.05
COSE434,0.1,0.05,0,0.35,0,0.85,0.5,0.45,0.15,0,0,0.2,0.15,0.1,0.25,0.15,0.35
COSE436,0.15,0.55,0.2,0.2,0.05,0.65,0.25,0.8,0.05,0,0,0.05,0.05,0,0.15,0.25,0.15
COSE441,0.05,0.1,0,0,0,0.55,0.35,0,0.15,0,0,0.15,0.2,0,1,0,0.1
COSE444,0.1,0.35,0.1,0,0,0.75,0.3,0,0.3,0,0,0.2,0.1,0,1,0,0.1
COSE451,0.1,0.35,0.1,0,0,0.75,0.3,0,0.3,0,0,0.2,0.1,0,1,0,0.1
COSE455,0.15,0.05,0,0,0,0.8,0.65,0,0.1,0,0,0.2,0.2,0,0.75,0,0.35
COSE457,0.1,0.15,0,0.05,0.05,0.9,0.25,0.3,0.1,0,0,0.05,0.1,0.1,0.3,0.1,0
COSE461,0.85,0.55,0.6,0.05,1,0.25,0.45,0.1,0.5,0.05,0.05,0,0,0.05,0.1,0.55,0.4
COSE471,0.7,1,0.85,0.1,0.1,0.25,0.25,0.1,0.4,0.25,0.25,0,0,0,0.1,0.1,0.45
COSE474,1,0.6,0.5,0.65,0.65,0.2,0.3,0.05,0.75,0,0.1,0,0,0.35,0.1,0.2,0.55
COSE475,1,0.6,0.55,0.7,0.7,0.2,0.35,0.05,0.8,0,0.1,0,0,0.4,0.1,0.2,0.6
COSE480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COSE483,0.05,0,0.1,0,0,0.1,0.1,0,0.2,0,0,0.45,0.85,0.15,0.2,0,0.55
COSE485,0.75,0.5,0.85,0.2,0.2,0.1,0.45,0.05,0.4,0.15,0.25,0.05,0.1,0.15,0.1,0.2,0.85
COSE490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSAI201,0.9,0.4,0.3,0.45,0.45,0.25,0.65,0.15,0.55,0,0,0.05,0.1,0.55,0.1,0.55,0.35
CSAI202,1,0.55,0.5,0.6,0.6,0.2,0.3,0.05,0.7,0,0,0,0,0.3,0.1,0.2,0.55
CSAI302,0.1,0,0,0,0,0.4,0.3,0,0.15,0,0,1,0.7,0.15,0.8,0,0.15
CSAI303,0.25,0.85,0.2,0,0,0.65,0.35,0,0.2,0,0,0.1,0.05,0,0.8,0,0.1
CSAI304,0.75,0.3,0.3,0.8,0.05,0.45,0.4,0.25,0.4,0,0,0.1,0.1,0.3,0.15,0.15,0.55
CSAI306,1,0.55,0.5,0.75,0.75,0.2,0.35,0.15,0.6,0,0,0,0,0.3,0.1,0.45,0.45
CSAI308,0.9,0.4,0.45,1,0.05,0.25,0.45,0.1,0.6,0,0,0.1,0.15,0.75,0.1,0.15,0.7
CSAI310,1,0.35,0.75,0.1,0.1,0.15,0.6,0.05,0.95,0.15,0.2,0,0.1,0.7,0.05,0.2,0.65
CSAI350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSAI351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CSAI401,0.8,0.4,0.45,0.15,0.15,0.45,0.45,0.05,0.2,0,0,0.15,0.15,0.1,0.6,0.1,0.35
CSAI402,0.95,0.75,0.7,0.55,0.2,0.2,0.25,0.15,0.45,0,0,0,0,0.1,0.05,0.25,0.35
CSAI403,0.75,0.35,0.25,0.3,0.5,0.35,0.25,1,0.25,0,0,0,0,0.3,0.1,0.8,0.2
CSAI404,0.9,0.45,0.65,0.1,0.75,0.2,0.3,0.1,0.4,0,0,0,0.2,0.1,0.1,0.45,0.65
CSAI405,1,0.55,0.45,0.65,0.8,0.25,0.3,0.1,0.65,0,0,0,0,0.2,0.15,0.25,0.45
CSAI406,0.7,0.3,0.2,0.25,0.35,0.3,0.15,1,0.15,0,0,0,0,0.15,0.05,0.85,0.1
CSAI407,0.9,0.3,0.45,0.75,0.1,0.3,0.45,0.2,0.7,0,0,0.2,0.6,1,0.25,0.85,0.55
CSAI408,1,0.4,0.7,0.2,0.2,0.15,0.4,0.05,0.8,0,0,0,0,0.2,0.05,0.15,0.6
CSAI409,0.8,0.4,0.2,0.15,0.15,0.75,0.45,0.1,0.35,0,0,0.45,0.3,0.2,1,0.1,0.2
CSAI410,0.95,0.5,0.6,0.05,1,0.2,0.4,0.1,0.55,0,0,0,0,0,0.1,0.5,0.4
CSAI411,0.65,0.8,0.4,0.05,0.75,0.4,0.6,0.2,0.2,0,0,0,0,0,0.3,0.2,0.2
CSAI431,0.75,0.5,0.35,0.3,0.3,0.3,0.25,0.15,0.4,0,0,0,0.05,0.25,0.1,0.2,0.25
CSAI432,0.75,0.5,0.35,0.3,0.3,0.3,0.25,0.15,0.4,0,0,0,0.05,0.25,0.1,0.2,0.25
DATA202,0.1,0.1,0.1,0,0,0.2,1,0,0.2,0,0,0.05,0,0,0.15,0,0.5
DATA301,0.4,0.9,0.9,0,0,0.1,0.1,0.1,0.25,0.2,0.15,0,0,0,0,0.1,0.45
DATA302,0.85,0.45,0.45,1,0,0.25,0.4,0.1,0.5,0,0,0,0,0.45,0.05,0.15,0.65
DATA303,1,0.75,0.8,0.35,0.35,0.2,0.45,0.05,0.8,0,0.1,0,0,0.2,0.1,0.15,0.65
DATA304,0.6,1,0.65,0.1,0.1,0.45,0.4,0.1,0.25,0.2,0.2,0.1,0.05,0,0.6,0.1,0.3
DATA306,0.05,0.15,0.05,0,0,0.25,0.05,0.9,0,0.2,0.1,0,0,0,0,0.6,0
DATA341,0.15,0.75,0.4,0.2,0,0.45,0.15,0.8,0.05,0.1,0.1,0,0,0,0,0.2,0.15
DATA401,0.2,0.85,0.2,0,0,0.65,0.35,0.05,0.1,0,0,0,0,0,0.7,0,0.1
DATA402,0.45,0.9,0.75,0,0,0.35,0.25,0.05,0.3,0.15,0.15,0,0,0,0.35,0.1,0.5
DATA403,1,0.4,0.7,0,0,0.15,0.55,0.05,0.95,0.1,0.15,0,0.1,0.6,0.05,0.2,0.65
DATA405,0.1,0.65,0.3,0,0,0.2,0.05,0.8,0,0.1,0.1,0,0,0,0,0.35,0.1
DATA407,0.55,0.85,0.6,0.1,0.1,0.25,0.2,0.1,0.25,0.15,0.15,0,0,0.05,0.1,0.1,0.3
DATA408,0.55,0.85,0.6,0.1,0.1,0.25,0.2,0.1,0.25,0.15,0.15,0,0,0.05,0.1,0.1,0.3
DATA410,0.55,0.85,0.6,0.1,0.1,0.25,0.2,0.1,0.25,0.15,0.15,0,0,0.05,0.1,0.1,0.3
DATA412,0.55,0.85,0.6,0.1,0.1,0.25,0.2,0.1,0.25,0.15,0.15,0,0,0.05,0.1,0.1,0.3
DATA421,0.15,0.35,0.2,0.05,0.05,0.2,0.1,0.15,0.1,0,0,0,0,0.05,0.1,0.05,0.1
DATA422,0.15,0.35,0.2,0.05,0.05,0.2,0.1,0.15,0.1,0,0,0,0,0.05,0.1,0.05,0.1
DATA423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DATA426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MATH221,0.6,0.4,0.55,0.55,0.25,0.05,0.2,0.05,0.75,0.2,0.5,0.05,0.1,0.55,0.05,0.1,1
MATH344,0.55,0.5,1,0.1,0.1,0.05,0.2,0.05,0.45,0.45,0.8,0.05,0.1,0.3,0.2,0.2,0.9
STAT221,0.65,0.8,1,0,0,0,0,0,0.3,0.65,0.7,0,0,0,0,0.1,0.55
STAT232,0.55,0.65,1,0,0,0,0,0,0.2,0.25,0.25,0,0,0,0,0.1,0.55
STAT302,0.75,0.7,1,0,0,0,0,0,0.35,0.35,0.4,0,0,0,0,0.2,0.65
STAT323,0.55,0.65,1,0,0,0,0,0,0.25,0.25,0.35,0,0,0,0,0.1,0.8
STAT332,0.65,0.8,1,0,0,0,0,0,0.3,0.65,0.7,0,0,0,0,0.1,0.55
STAT341,0.55,0.85,0.9,0,0,0.5,0.4,0,0.25,0,0,0,0,0,0.1,0,0.55
STAT342,0.55,0.65,1,0,0,0,0,0,0.2,0.25,0.25,0,0,0,0,0.1,0.55
STAT343,0.7,0.9,0.8,0,0,0.2,0.15,0.05,0.25,0.2,0.15,0,0,0,0,0.1,0.45
STAT346,0.65,0.85,1,0,0,0,0,0,0.3,0.7,0.5,0,0,0,0,0.1,0.55
STAT401,0.55,0.75,1,0,0.1,0,0,0.05,0.2,0.5,0.2,0,0,0,0,0.2,0.45
STAT404,0.75,0.9,1,0,0,0,0,0,0.35,0.4,0.35,0,0,0,0,0.1,0.6
STAT409,0.65,0.75,1,0,0,0,0,0,0.4,0.3,0.3,0,0,0,0,0.1,0.65
STAT412,0.75,0.7,1,0,0,0,0,0,0.35,0.35,0.4,0,0,0,0,0.2,0.65
STAT424,0.8,0.9,1,0,0,0,0,0,0.4,0.4,0.35,0,0,0,0,0.1,0.65
STAT443,0.45,0.5,1,0,0,0,0,0,0.3,0.2,0.3,0,0,0,0,0.1,0.85
STAT440,0.75,1,0.8,0,0,0.2,0.15,0.05,0.3,0.2,0.2,0,0,0,0.1,0.1,0.45
STAT443,0.7,0.85,1,0,0,0,0,0,0.4,0.5,0.4,0,0,0,0,0.1,0.7
